SOURCE FILE: 20250429_talabat-FY24-Quarterly-PL-Breakdown.xlsx
SHEETS: ['2024 Quarterly Historicals']


===== SHEET: 2024 Quarterly Historicals (dims=B2:H49) =====

 |  | Note: Presented below is a quarterly breakdown of GMV and selected income statement lines for talabat on a pro forma basis, as if the corporate restructuring that was carried out at the end of September 2024, ahead of talabat’s Initial Public Offering (“IPO”), took place on 1 January 2023. This does not include instashop which is consolidated in talabat's financials as of 25 February 2025. The below financials will enable like-for-like comparability of the combined Company, excluding instashop, with prior year periods. These financials are prepared on the same basis as the financials in the International Offering Memorandum used for the IPO.  |  |  |  |  | 
 |  | Income statement (GMV and selected line items) | Q1'24 | Q2'24 | Q3'24 | Q4'24 | FY'24
 |  | GMV | 1603.4436078801998 | 1851.5519311598002 | 1928.9400630200007 | 2043.91492758 | 7427.850529640001
 |  | o/w GCC | 1362.9270667 | 1615.0871472999997 | 1629.9298830000007 | 1723.5938455899995 | 6331.53794259
 |  | o/w non-GCC | 240.51654118019974 | 236.4647838598005 | 299.01018002 | 320.3210819900005 | 1096.3125870500007
 |  | % GCC | 0.8500000000011414 | 0.8722883328950539 | 0.8449873141460593 | 0.8432806191355228 | 0.8524051362267875
 |  | % non-GC | 0.14999999999885857 | 0.1277116671049461 | 0.15501268585394073 | 0.15671938086447726 | 0.14759486377321257
 |  | o/w Food | 1194.850626 | 1409.0288075100002 | 1437.9533576099998 | 1500.23395234 | 5542.06674346
 |  | o/w G&R | 408.5929818801999 | 442.5231236498 | 490.9867054100009 | 543.68097524 | 1885.7837861800008
 |  | % Food | 0.7451778285983054 | 0.7609988052710969 | 0.7454629540737006 | 0.7340001934993843 | 0.7461198527548457
 |  | % G&R | 0.2548221714016946 | 0.23900119472890313 | 0.25453704592629944 | 0.2659998065006157 | 0.2538801472451543
 |  | Management revenue (as presented) | 633.513911 | 726.5613617025185 | 771.9864968059908 | 823.9538021729063 | 2956.0155716814156
 |  | Commission fees | 226.53660000000002 | 268.84591572498294 | 276.589902989789 | 290.4572847569775 | 1062.4297034717495
 |  | Subscription fee & other income | 202.30898399999998 | 223.22480551667806 | 251.3235230469707 | 275.50014666031313 | 952.3574592239619
 |  | Delivery & service fees | 148.57852099999997 | 174.8566563995916 | 181.16281626140233 | 191.0121030034037 | 695.6100966643976
 |  | Advertising and listing fees | 56.089806 | 59.63398406126617 | 62.91025450782844 | 66.98426775221239 | 245.618312321307
 |  | Revenue (IFRS) | 614.901125 | 705.7661060415247 | 749.9262095139552 | 801.2688295602452 | 2871.862270115725
 |  | Management revenue (% GMV) | 0.3950958473915551 | 0.39240668839755705 | 0.4002127964501643 | 0.403125292082714 | 0.3979637931438939
 |  | Commissions (% GMV-other direct income) | 0.1611587650599845 | 0.16448277231973873 | 0.16411396273210252 | 0.16327906174794743 | 0.16186357392308529
 |  | Subscription fees and other income (G&R) (% GMV) | 0.12617156163506024 | 0.12056092068497991 | 0.13029099652453266 | 0.13479041761611182 | 0.12821440811492998
 |  | Delivery and service fees (% GMV) | 0.09266214307120235 | 0.09443788934942944 | 0.09391832319443295 | 0.09345403784959018 | 0.09364890877766642
 |  | Advertising & listing fees (% GMV) | 0.03498084106253815 | 0.032207567639710666 | 0.03261389802300775 | 0.03277253218729701 | 0.0330672125591643
 |  | Gross profit | 198.20469099999997 | 228.9640716957112 | 233.1660096501023 | 255.0278174431587 | 915.3625897889722
 |  | Margin (% GMV) | 0.12361188758114947 | 0.12366062644124141 | 0.12087778885418103 | 0.12477418409244274 | 0.1232338462030598
 |  | Adj. EBITDA | 104.438838 | 126.21075600953006 | 127.62059595371022 | 138.59805401225333 | 496.8682439754936
 |  | Margin (% GMV) | 0.06513408858704502 | 0.0681648480312796 | 0.06616099608294929 | 0.06781008942302395 | 0.06689260129734663
 |  | Net income | 27.259178000000002 | 89.90344010755616 | 91.09087869298844 | 137.91853696392104 | 346.17203376446565
 |  | Margin (% GMV) | 0.01700039706169489 | 0.0485557216055189 | 0.04722328103361288 | 0.06747763084602396 | 0.04660460416955149
 |  | Adj. net income | 80.28138200000001 | 93.14070785704561 | 97.52300402995238 | 121.81473783526206 | 392.75983172226006
 |  | Margin (% GMV) | 0.05006810442565821 | 0.05030412935742119 | 0.05055781975789736 | 0.059598731919577 | 0.0528766471747104
 |  | Adjusted FCF | 96.57115388 | 129.42884611999975 | 118.54120969639231 | 117.88610657317912 | 462.4273162695712
 |  | Margin (% GMV) | 0.06022734657171382 | 0.06990289818062319 | 0.06145406587221844 | 0.05767662097010884 | 0.062255872600600545
 |  | Cash conv. (% AEBITDA) | 0.9246670657136189 | 1.0254977484662773 | 0.9288564185939774 | 0.8505610516202263 | 0.9306839828797328
